Degree,Trainset,Bias,Variance,Irreducible
1,0,441.4953609497335,1930619.07783752,-1406145.4913199095
1,1,78.18245031194489,1897540.145862284,-1366175.081760177
1,2,165.30131593271318,2399004.237294405,-1939105.0672171428
1,3,268.1472354017528,2381479.280893692,-1920155.476883911
1,4,209.85275700202448,2771803.644997438,-2326948.826499252
1,5,307.659110793939,2870598.552542558,-2425281.3640324613
1,6,235.21181289882287,3204136.357455946,-2745335.3966971464
1,7,358.6263870231531,1963295.6014665663,-1445294.8377772649
1,8,146.64892509605926,2214110.727353447,-1735546.282445186
1,9,163.87796979214696,2406467.907183162,-1947154.450064546
1,10,145.40076249054195,2240950.0331497537,-1765608.7410296327
1,11,212.84824604451927,2068971.7728830203,-1569722.7367813215
1,12,302.1684980864858,1795924.7785229876,-1241160.2424994516
1,13,202.12281252661217,2219792.0951357987,-1741925.0675347974
1,14,-122.29557136967487,2065457.8667156093,-1565637.0933728358
1,15,114.32244813602884,2046614.7849203479,-1543668.5760947443
2,0,435.0137430845458,2055892.6354397968,-1580048.0002507993
2,1,39.536241583168554,2116695.598821954,-1607043.913283973
2,2,159.98207988620052,2473250.4019872406,-2042241.7077680612
2,3,254.35679631568718,2689442.542764256,-2252865.9393502236
2,4,204.0047465133902,3022064.5878214985,-2600914.3698886875
2,5,318.88913187536656,2766102.2307515596,-2258085.743337635
2,6,241.0884012322912,3452211.844614344,-3002752.7663528514
2,7,359.0332034449764,1954889.2006210485,-1430735.900690007
2,8,149.01093534086917,2193899.8556795847,-1703919.0550061772
2,9,157.1589745245745,2472266.449547979,-2037897.1214616878
2,10,141.33630839708113,2350579.3704633703,-1913964.9726998701
2,11,212.61527702267836,2094430.9244269654,-1608390.3586496087
2,12,310.4672180084999,1757208.8082376658,-1166573.1051572007
2,13,202.67288610561562,2211081.2625827543,-1728432.307772206
2,14,-132.0024901055528,2297789.722073472,-1841643.1012816504
2,15,111.22252904247553,2100336.9499470238,-1624502.7376820627
3,0,199.14716515857418,3122088.6159599815,-3108902.7270938917
3,1,-61.75572241212101,2822114.808680035,-2750447.031275618
3,2,60.27080811122867,3220427.8606654988,-3214020.250775763
3,3,98.14911769292105,3394734.7799456045,-3358032.59946741
3,4,4.030543059042067,4096133.260742298,-4025498.5465040365
3,5,127.60828482552225,3758729.8635648102,-3706581.1448235437
3,6,99.69245052448578,4536510.1168403,-4400525.026071467
3,7,195.0153366384549,2899463.6548464173,-2868160.1306547434
3,8,-49.32753498743904,3261125.124145952,-3251390.938408333
3,9,-8.068776202548829,3563086.5834161146,-3551143.0950478422
3,10,38.25452782678191,2957793.1887965873,-2942203.6304214564
3,11,-49.6848502287742,3316580.9841509787,-3278314.967138419
3,12,78.81044380746349,3287820.0622013705,-3237184.930715981
3,13,43.72383298963363,3222910.2769178436,-3220436.8580854083
3,14,-318.8502292607177,3290952.148603499,-3231195.1315803817
3,15,-40.20751698802265,2876625.514297538,-2865688.4067259887
4,0,219.22043867943202,3030677.434918369,-3010975.1437323554
4,1,-60.15177595513846,2813585.4817017284,-2741226.6960075507
4,2,67.32979835399127,3194190.6867474234,-3185574.319883173
4,3,115.1103377295617,3327283.6227543256,-3284007.491718717
4,4,6.15200676228819,4086237.142995324,-4016614.250495734
4,5,167.9363436644603,3550312.6120001287,-3452529.936047574
